,OUTSTANDING_BALANCE_0,OUTSTANDING_BALANCE_1000,OUTSTANDING_BALANCE_10000,OUTSTANDING_INVENTORY_0,OUTSTANDING_INVENTORY_1000,OUTSTANDING_INVENTORY_10000
2017-05-01 11:37:41.900,,,,,,
2017-05-01 11:37:42.900,,,,,,
2017-05-01 11:37:43.900,,,,,,
2017-05-01 11:37:44.900,,,,,,
2017-05-01 11:37:45.900,,,,,,
2017-05-01 11:37:46.900,,,,,,
2017-05-01 11:37:47.900,,,,,,
2017-05-01 11:37:48.900,,,,,,
2017-05-01 11:37:49.900,,,,,,
2017-05-01 11:37:50.900,,,,,,
2017-05-01 11:37:51.900,,,,,,
2017-05-01 11:37:52.900,,,,,,
2017-05-01 11:37:53.900,,,,,,
2017-05-01 11:37:54.900,,,,,,
2017-05-01 11:37:55.900,,,,,,
2017-05-01 11:37:56.900,,,,,,
2017-05-01 11:37:57.900,,,,,,
2017-05-01 11:37:58.900,,,,,,
2017-05-01 11:37:59.900,,,,,,
2017-05-01 11:38:00.900,,,,,,
2017-05-01 11:38:01.900,,,,,,
2017-05-01 11:38:02.900,,,,,,
2017-05-01 11:38:03.900,,,,,,
2017-05-01 11:38:04.900,,,,,,
2017-05-01 11:38:05.900,,,,,,
2017-05-01 11:38:06.900,,,,,,
2017-05-01 11:38:07.900,,,,,,
2017-05-01 11:38:08.900,,,,,,
2017-05-01 11:38:09.900,,,,,,
2017-05-01 11:38:10.900,,,,,,
2017-05-01 11:38:11.900,,,,,,
2017-05-01 11:38:12.900,,,,,,
2017-05-01 11:38:13.900,,,,,,
2017-05-01 11:38:14.900,,,,,,
2017-05-01 11:38:15.900,,,,,,
2017-05-01 11:38:16.900,,,,,,
2017-05-01 11:38:17.900,,,,,,
2017-05-01 11:38:18.900,,,,,,
2017-05-01 11:38:19.900,,,,,,
2017-05-01 11:38:20.900,,,,,,
2017-05-01 11:38:21.900,,,,,,
2017-05-01 11:38:22.900,,,,,,
2017-05-01 11:38:23.900,,,,,,
2017-05-01 11:38:24.900,,,,,,
2017-05-01 11:38:25.900,,,,,,
2017-05-01 11:38:26.900,,,,,,
2017-05-01 11:38:27.900,,,,,,
2017-05-01 11:38:28.900,,,,,,
2017-05-01 12:02:27.900,,,,,,
2017-05-01 12:02:28.900,,,,,,
2017-05-01 12:02:29.900,,,,,,
2017-05-01 12:02:30.900,,,,,,
2017-05-01 12:02:31.900,,,,,,
2017-05-01 12:02:32.900,,,,,,
2017-05-01 12:02:33.900,,,,,,
2017-05-01 12:02:34.900,,,,,,
2017-05-01 12:02:35.900,,,,,,
2017-05-01 12:02:36.900,,,,,,
2017-05-01 12:02:37.900,,,,,,
2017-05-01 12:02:38.900,,,,,,
2017-05-01 12:02:39.900,,,,,,
2017-05-01 12:02:40.900,,,,,,
2017-05-01 12:02:41.900,,,,,,
2017-05-01 12:02:42.900,,,,,,
2017-05-01 12:02:43.900,,,,,,
2017-05-01 12:02:44.900,,,,,,
2017-05-01 12:02:45.900,,,,,,
2017-05-01 12:02:46.900,,,,,,
2017-05-01 12:02:47.900,,,,,,
2017-05-01 12:02:48.900,,,,,,
2017-05-01 12:02:49.900,,,,,,
2017-05-01 12:02:50.900,,,,,,
2017-05-01 12:02:51.900,,,,,,
2017-05-01 12:02:52.900,,,,,,
2017-05-01 12:02:53.900,,,,,,
2017-05-01 12:02:54.900,,,,,,
2017-05-01 12:02:55.900,,,,,,
2017-05-01 12:02:56.900,,,,,,
2017-05-01 12:02:57.900,,,,,,
2017-05-01 12:02:58.900,,,,,,
2017-05-01 12:02:59.900,,,,,,
2017-05-01 12:03:00.900,,,,,,
2017-05-01 12:03:01.900,,,,,,
2017-05-01 12:03:02.900,,,,,,
2017-05-01 12:03:03.900,,,,,,
2017-05-01 12:03:04.900,,,,,,
2017-05-01 12:03:05.900,,,,,,
2017-05-01 12:03:06.900,,,,,,
2017-05-01 12:03:07.900,,,,,,
2017-05-01 12:03:08.900,,,,,,
2017-05-01 12:03:09.900,,,,,,
2017-05-01 12:03:10.900,,,,,,
2017-05-01 12:03:11.900,,,,,,
2017-05-01 12:03:12.900,,,,,,
2017-05-01 12:03:13.900,,,,,,
2017-05-01 12:03:14.900,,,,,,
2017-05-01 12:04:57.900,,,,,,
2017-05-01 12:04:58.900,,,,,,
2017-05-01 12:13:03.900,,,,,,
2017-05-01 12:13:04.900,,,,,,
2017-05-01 12:13:05.900,,,,,,
2017-05-01 12:13:06.900,,,,,,
